Tên sản phẩm,Giá,Link,Thời gian quét
Bàn Phím Có Dây - Machenike K500-B61 - 1 mode : dây - Màu trắng - Ngoại hình 97% - Body,300.000₫,https://2handland.com/san-pham/ban-phim-co-day-machenike-k500-b61-1-mode-day-mau-trang-ngoai-hinh-97-body,2026-01-11 22:04:22
Máy vặn vít dùng pin 3.6V Bosch Go Gen 3 - Màu xanh đen - Ngoại hình 97% - Kèm hộp đựng + Đầu nối dài + Đầu vít,800.000₫,https://2handland.com/san-pham/may-van-vit-dung-pin-3-6v-bosch-go-gen-3-mau-xanh-den-ngoai-hinh-97-kem-hop-dung-dau-noi-dai-dau-vit,2026-01-11 22:04:23
Máy Bơm Lốp Không Dây Baseus SuperMini Pro Series Wireless Car Inflator 50W 4000mAh - Màu đen - Ngoại hình 97% - Body,450.000₫,https://2handland.com/san-pham/may-bom-lop-khong-day-baseus-supermini-pro-series-wireless-car-inflator-50w-4000mah-mau-den-ngoai-hinh-97-body,2026-01-11 22:04:24
Máy đo khoảng cách 40m Bosch GLM 40-12 - Màu xanh đen - Ngoại hình 97% - Body,1.000.000₫,https://2handland.com/san-pham/may-do-khoang-cach-40m-bosch-glm-40-12-mau-xanh-den-ngoai-hinh-97-body,2026-01-11 22:04:25
Chuột không dây Logitech MX Master 3S - 1 mode : Bluetooth - Màu trắng - Ngoại hình 97% - Body,800.000₫,https://2handland.com/san-pham/chuot-khong-day-logitech-mx-master-3s-1-mode-bluetooth-mau-trang-ngoai-hinh-97-body,2026-01-11 22:04:26
Đồng hồ Apple Watch Series 7/45mm - VN/A - Bản GPS - Pin 100% - Viền nhôm - Màu xanh - Ngoại hình 98% - Kèm box,3.900.000₫,https://2handland.com/san-pham/dong-ho-apple-watch-series-7-45mm-vn-a-ban-gps-pin-100-vien-nhom-mau-xanh-ngoai-hinh-98-kem-box,2026-01-11 22:04:27
Đồng hồ Apple Watch Series 4/40mm - LL/A - Bản GPS - Pin 100% thay new - Viền nhôm - Màu hồng - Ngoại hình 98% - Kèm sạc,2.100.000₫,https://2handland.com/san-pham/dong-ho-apple-watch-series-4-40mm-ll-a-ban-gps-pin-100-thay-new-vien-nhom-mau-hong-ngoai-hinh-98-kem-sac,2026-01-11 22:04:28
"Màn hình di động ARZOPA Z1RC 16"" 60Hz 2.5K IPS HDR - Màu đen - Ngoại hình 97% - Kèm dây c-c",2.000.000₫,https://2handland.com/san-pham/man-hinh-di-dong-arzopa-z1rc-16-60hz-2-5k-ips-hdr-mau-den-ngoai-hinh-97-kem-day-c-c,2026-01-11 22:04:29
Bảng Vẽ Điện Tử One by Wacom Small CTL472 - Màu đen - Ngoại hình 97% - Fullbox,600.000₫,https://2handland.com/san-pham/bang-ve-dien-tu-one-by-wacom-small-ctl472-mau-den-ngoai-hinh-97-fullbox,2026-01-11 22:04:30
Bút Apple Pencil 2023 USB-C - Màu trắng - Ngoại hình 98% - Fullbox,1.400.000₫,https://2handland.com/san-pham/but-apple-pencil-2023-usb-c-mau-trang-ngoai-hinh-98-fullbox,2026-01-11 22:04:31
